Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100020;ІІ ОУ Димитър Благоев;73;65.01;73;47.96
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100040;ІV ОУ Димчо Дебелянов;27;50.20;27;31.96
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100070;VІІ СУ Кузман Шапкарев;121;66.96;121;48.76
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100110;ХІ ОУ Христо Ботев;60;54.98;60;29.95
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100200;ПМГ Акад. Сергей Корольов;26;85.46;26;89.66
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101250;СУИЧЕ Св. Климент Охридски;68;54.07;68;36.78
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101290;ІІІ ОУ ДимитърТалев;92;69.23;92;44.94
БЛАГОЕВГРАД;ГЪРМЕН;С.ГЪРМЕН;101301;СУ Св.св.Кирил и Методий;19;19.34;15;29.07
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101580;VІІІ СУ Арсени Костенцев;88;63.70;88;43.91
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101700;ІХ ОУ Пейо Кр. Яворов;20;41.20;20;27.28
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101880;СУ Иван Вазов;44;56.55;44;34.74
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;102002;ПМГ Яне Сандански;25;71.58;25;48.69
БЛАГОЕВГРАД;БАНСКО;С.МЕСТА;102003;ОУ Св. св. Кирил и Методий;11;43.36;11;22.48
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;102060;V СУ Георги Измирлиев;33;55.11;33;38.02
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;102606;ІІ ОУ Хр.Смирненски;74;52.64;74;38.48
БЛАГОЕВГРАД;ГЪРМЕН;С.РИБНОВО;103002;СУ Йордан Йовков;40;33.44;40;23.46
БЛАГОЕВГРАД;ГЪРМЕН;С.ОГНЯНОВО;103004;ОУ Пейо Кр.Яворов;16;57.66;16;46.27
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЕБРЕН;103005;ОбУ Св. Климент Охридски;34;50.84;34;25.85
БЛАГОЕВГРАД;ГЪРМЕН;С.ГОРНО ДРЯНОВО;103006;ОУ Св.Паисий Хилендарски;10;49.30;8;42.84
БЛАГОЕВГРАД;ГЪРМЕН;С.ДОЛНО ДРЯНОВО;103008;ОбУ Христо Ботев;21;45.62;21;27.50
БЛАГОЕВГРАД;ГЪРМЕН;С.ХВОСТЯНЕ;103009;ОУ Димитър Талев;10;23.65;10;16.98
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЪБНИЦА;103019;ОбУ Христо Ботев;26;45.08;26;23.84
БЛАГОЕВГРАД;СИМИТЛИ;ГР.СИМИТЛИ;103133;СУ Св.Св.Кирил и Методий;70;52.95;69;31.46
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;103310;СУ Никола Й. Вапцаров;95;52.10;95;28.89
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БРЕЗНИЦА;103401;СУ Св. Св. Кирил и Методий;43;42.16;43;26.12
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103402;І ОУ Св.Св. Кирил и Методий;85;57.60;85;35.16
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103403;ІІ ОУ Гоце Делчев;47;50.23;47;32.26
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103404;ІІІ ОУ Братя Миладинови;36;47.47;37;28.41
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.МУСОМИЩА;103405;ОУ Христо Ботев;15;51.13;15;32.60
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БОРОВО;103406;ОУ Св. Климент Охридски;9;43.11;9;34.06
